trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-137.61926264686446,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-207.8566696470285,"{0: 14, 1: 0, 2: 6, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-182.51130138234313,"{0: 11, 1: 6, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-65.14964345396994,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-69.55894489422273,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,16,-48.055266556884334,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-79.27099373574109,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-59.488983006271454,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-71.16401338075934,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-57.94224602792618,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-36.83996096644361,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-46.09115575393292,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-179.28539489339812,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,5.851362823024024,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-12.751524411976765,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,14,11.756052743428125,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,8,-2.5445400865810357,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,15,17.484485790621008,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,6,24.514731916232385,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,12,29.011163457717085,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': -3.191891195797325e-16}",25,16,11.750556646145428,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': -3.191891195797325e-16}",20,6,25.376675915132292,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': -3.191891195797325e-16}",20,15,2.5744720729797645,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': -3.191891195797325e-16}",25,7,25.28853441037563,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': -3.191891195797325e-16}",20,8,19.88142853682577,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': -3.191891195797325e-16}",20,6,20.98418001134819,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': -3.191891195797325e-16}",25,8,5.058056009524778,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': -3.191891195797325e-16}",25,11,-23.703127933314104,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': -3.191891195797325e-16}",30,16,-1.0864616753868952,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': -3.191891195797325e-16}",25,18,-29.25871856873328,"{0: 5, 1: 0, 2: 0, 3: 2, 4: 0}",1
