trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.995}",25,0,-83.87282324468487,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.99}",30,0,-228.628472997392,"{0: 14, 1: 5, 2: 6, 3: 2, 4: 3}",0
3,False,"{'a': 0.01, 'e': 0.985}",25,0,-40.4211553077954,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.01, 'e': 0.98}",20,0,-63.30417091415481,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.975}",20,5,-122.03778536069295,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 2}",1
6,False,"{'a': 0.01, 'e': 0.97}",20,0,-54.224203521647155,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.965}",25,0,-162.3669957101505,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.96}",20,0,-61.71022134863696,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.955}",30,13,-76.56318017698239,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 1}",1
10,False,"{'a': 0.01, 'e': 0.95}",25,0,-198.17935935854396,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
11,False,"{'a': 0.01, 'e': 0.945}",30,8,-107.15509323744229,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 2}",1
12,False,"{'a': 0.01, 'e': 0.94}",30,0,-114.51580802471327,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9349999999999999}",20,0,-118.4832521235013,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9299999999999999}",20,0,-124.62843177176396,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.9249999999999999}",20,0,-74.95484400769274,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.9199999999999999}",25,0,-47.896597341765585,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.9149999999999999}",25,0,-140.55568338257234,"{0: 13, 1: 7, 2: 2, 3: 1, 4: 2}",0
18,False,"{'a': 0.01, 'e': 0.9099999999999999}",30,0,-193.59519314841327,"{0: 16, 1: 0, 2: 11, 3: 1, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.9049999999999999}",20,0,-18.57325461348825,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.01, 'e': 0.8999999999999999}",20,0,-85.58364268077634,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.8949999999999999}",30,8,-151.1124354185544,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 2}",1
22,False,"{'a': 0.01, 'e': 0.8899999999999999}",20,0,-132.9262588046637,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.8849999999999999}",20,2,-78.23707388240622,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 0}",1
24,False,"{'a': 0.01, 'e': 0.8799999999999999}",25,0,-101.70796387207348,"{0: 11, 1: 5, 2: 9, 3: 0, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.8749999999999999}",30,0,-310.17368073092024,"{0: 11, 1: 8, 2: 4, 3: 2, 4: 5}",0
26,False,"{'a': 0.01, 'e': 0.8699999999999999}",30,0,-115.80756295520935,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.8649999999999999}",35,0,-127.9947321731084,"{0: 22, 1: 6, 2: 4, 3: 2, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.8599999999999999}",25,0,-133.44563489539965,"{0: 10, 1: 7, 2: 5, 3: 3, 4: 0}",0
29,False,"{'a': 0.01, 'e': 0.8549999999999999}",25,0,-183.74045336441336,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
30,False,"{'a': 0.01, 'e': 0.8499999999999999}",20,0,-60.1197936047967,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
