trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.88343540226583,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.73800735513393,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-88.34406888794284,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-9.869348041248353,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-158.54330794645725,"{0: 10, 1: 4, 2: 9, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-103.35107883941181,"{0: 22, 1: 2, 2: 11, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-168.57152110827033,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-228.36354099187577,"{0: 7, 1: 4, 2: 5, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.1679519818862,"{0: 10, 1: 7, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-138.03006534118148,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-241.10174323507184,"{0: 13, 1: 1, 2: 5, 3: 2, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.92321955340617,"{0: 7, 1: 5, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-127.99552641821819,"{0: 16, 1: 5, 2: 6, 3: 3, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.19994216534718,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-190.3422368259161,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.34686443657954,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,12,-141.71878003033117,"{0: 13, 1: 4, 2: 2, 3: 2, 4: 2}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.42128066079243,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.05821906432061,"{0: 11, 1: 5, 2: 8, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-189.09705360095012,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-216.6498182066146,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-148.15024387062064,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-17.373467916086035,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-143.40306453509908,"{0: 11, 1: 5, 2: 7, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-57.43909385366935,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-155.21815229806765,"{0: 13, 1: 2, 2: 0, 3: 2, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-139.22665605236872,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-178.6205983074176,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,12,-29.558543284058928,"{0: 4, 1: 1, 2: 3, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-105.63361891998366,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
